index,fibonacci_value,angle,radius,x_coord,y_coord
1,1,0.0,2.0,2.0,0.0
2,1,137.5,2.0,-1.47,1.35
3,2,275.0,2.83,0.25,-2.82
4,3,52.5,3.46,2.11,2.75
5,5,190.0,4.47,-4.4,-0.78
6,8,327.5,5.66,4.77,-3.04
7,13,105.0,7.21,-1.87,6.97
8,21,242.5,9.17,-4.23,-8.13
9,34,20.0,11.66,10.96,3.99
10,55,157.5,14.83,-13.7,5.68
11,89,295.0,18.87,7.97,-17.1
12,144,72.5,24.0,7.22,22.89
13,233,210.0,30.53,-26.44,-15.26
14,377,347.5,38.83,37.91,-8.4
15,610,125.0,49.4,-28.33,40.46
16,987,262.5,62.83,-8.2,-62.3
17,1597,40.0,79.92,61.23,51.37
18,2584,177.5,101.67,-101.57,4.43
19,4181,315.0,129.32,91.44,-91.44
20,6765,92.5,164.5,-7.18,164.34
